0.004400
16750848,39.33863,44.3929,39.33686,44.3924,39.33555,44.39408,39.336,44.39625,39.33777,44.39675,39.33908,44.39507
16750848,39.20938,44.76798,39.20806,44.76965,39.2085,44.77183,39.21026,44.77234,39.21158,44.77067,39.21114,44.76849
16750848,39.2182,44.75411,39.21687,44.75578,39.21731,44.75796,39.21908,44.75848,39.2204,44.75681,39.21996,44.75462
16711680,39.27789,44.54155,39.27658,44.54322,39.27702,44.5454,39.27878,44.5459,39.2801,44.54423,39.27966,44.54205
16750848,39.2808,44.46657,39.27948,44.46825,39.27993,44.47042,39.28169,44.47092,39.28301,44.46925,39.28256,44.46707
16750848,39.28783,44.46038,39.28651,44.46205,39.28696,44.46422,39.28872,44.46473,39.29003,44.46305,39.28959,44.46088
16750848,39.28984,44.4221,39.28808,44.42161,39.28676,44.42328,39.28722,44.42545,39.28899,44.42595,39.2903,44.42427
16711680,39.28736,44.45,39.28604,44.45168,39.28649,44.45385,39.28825,44.45435,39.28956,44.45268,39.28912,44.4505
16711680,38.56134,44.87465,38.55957,44.87415,38.55826,44.8758,38.55871,44.87794,38.56048,44.87844,38.5618,44.8768
16711680,38.57218,44.83938,38.5704,44.83888,38.56909,44.84053,38.56954,44.84267,38.57132,44.84317,38.57263,44.84152
16711680,38.56453,45.02184,38.5632,45.02349,38.56363,45.02566,38.56538,45.02617,38.56671,45.02452,38.56628,45.02236
16750848,38.90588,45.00754,38.90456,45.0092,38.90499,45.01138,38.90675,45.01189,38.90808,45.01024,38.90764,45.00806
16750848,38.90329,44.99449,38.90196,44.99615,38.9024,44.99833,38.90415,44.99884,38.90548,44.99718,38.90505,44.99501
16711680,38.89085,45.02361,38.88953,45.02527,38.88996,45.02745,38.89172,45.02796,38.89305,45.02631,38.89261,45.02413
16750848,38.88339,45.01937,38.88206,45.02103,38.88249,45.0232,38.88425,45.02372,38.88558,45.02206,38.88515,45.01989
16711680,38.89215,45.03014,38.89082,45.0318,38.89125,45.03397,38.89301,45.03449,38.89434,45.03283,38.89391,45.03066
16711680,38.88906,45.03128,38.88774,45.03294,38.88817,45.03511,38.88993,45.03563,38.89125,45.03397,38.89082,45.0318
16750848,38.55924,44.9368,38.55791,44.93845,38.55834,44.94061,38.5601,44.94112,38.56142,44.93947,38.56099,44.93731
16711680,38.5654,44.93452,38.56407,44.93617,38.5645,44.93833,38.56626,44.93884,38.56758,44.93719,38.56715,44.93503
16750848,38.58326,44.9662,38.58193,44.96785,38.58236,44.97001,38.58412,44.97053,38.58544,44.96888,38.58501,44.96671
16711680,38.21975,44.75874,38.21797,44.75825,38.21665,44.75989,38.21712,44.76203,38.21889,44.76252,38.22021,44.76088
16750848,38.18467,44.75097,38.1829,44.75048,38.18158,44.75212,38.18204,44.75426,38.18382,44.75475,38.18514,44.75311
16711680,38.17007,44.75293,38.16829,44.75244,38.16698,44.75408,38.16744,44.75622,38.16922,44.75671,38.17053,44.75507
16711680,38.19672,44.76036,38.19494,44.75986,38.19363,44.76151,38.19409,44.76364,38.19587,44.76414,38.19718,44.7625
16750848,38.19757,44.75658,38.1958,44.75608,38.19448,44.75773,38.19494,44.75986,38.19672,44.76036,38.19804,44.75872
16711680,38.19416,44.7717,38.19239,44.7712,38.19107,44.77285,38.19153,44.77498,38.19331,44.77548,38.19462,44.77384
16750848,38.20205,44.76185,38.20027,44.76135,38.19896,44.76299,38.19942,44.76513,38.2012,44.76563,38.20251,44.76398
